Date,0.25Y,0.5Y,0.75Y,1.0Y,1.25Y,1.5Y,1.75Y,2.0Y,2.25Y,2.5Y,2.75Y,3.0Y,3.25Y,3.5Y,3.75Y,4.0Y,4.25Y,4.5Y,4.75Y
1/3/00,6.28494898,6.58467033,6.812857143,7.012307692,7.037857143,7.121428571,7.170769231,7.222582418,7.186538462,7.196538462,7.21489011,7.259725275,7.239120879,7.263296703,7.294065934,7.359065934,7.363406593,7.405604396,7.447802198
1/4/00,6.26622449,6.537857143,6.768846154,6.957472527,6.983846154,7.066923077,7.117362637,7.172087912,7.136648352,7.146648352,7.16467033,7.204395604,7.184395604,7.208516484,7.239945055,7.304010989,7.308901099,7.350934066,7.393791209
1/5/00,6.282857143,6.586923077,6.82543956,7.008516484,7.040659341,7.128241758,7.184065934,7.243461538,7.216758242,7.227637363,7.251208791,7.294065934,7.27467033,7.29967033,7.336813187,7.403956044,7.409395604,7.452307692,7.500879121
1/6/00,6.281836735,6.567912088,6.796043956,6.968736264,7.001703297,7.08967033,7.149945055,7.207087912,7.176868132,7.187802198,7.211868132,7.253736264,7.234945055,7.258956044,7.292747253,7.358901099,7.36489011,7.407692308,7.456923077
1/7/00,6.271887755,6.53043956,6.755494505,6.913956044,6.947747253,7.033406593,7.086813187,7.146648352,7.116978022,7.127967033,7.152527473,7.193406593,7.17521978,7.199175824,7.233681319,7.298846154,7.305384615,7.348076923,7.397967033
1/10/00,6.292244898,6.569065934,6.800054945,6.965769231,7.00478022,7.087087912,7.147307692,7.196538462,7.172307692,7.182307692,7.204505495,7.242417582,7.224835165,7.244835165,7.281483516,7.343681319,7.351868132,7.394230769,7.446098901
1/11/00,6.34005102,6.644945055,6.889615385,7.061043956,7.101923077,7.187692308,7.250549451,7.306153846,7.283626374,7.297417582,7.320164835,7.357087912,7.341318681,7.365054945,7.402417582,7.463626374,7.472362637,7.515989011,7.572142857
1/12/00,6.356428571,6.667692308,6.911978022,7.08510989,7.136758242,7.218296703,7.281483516,7.335769231,7.313791209,7.328791209,7.355824176,7.391758242,7.376593407,7.401593407,7.443351648,7.503571429,7.514285714,7.561428571,7.618186813
1/13/00,6.334132653,6.626813187,6.855549451,7.014230769,7.061483516,7.138901099,7.201098901,7.250384615,7.228956044,7.243956044,7.271483516,7.306428571,7.291868132,7.316868132,7.359285714,7.418516484,7.429835165,7.476868132,7.534230769
1/14/00,6.338673469,6.645659341,6.880384615,7.05010989,7.112417582,7.189505495,7.251978022,7.301428571,7.284120879,7.299120879,7.327142857,7.361098901,7.347142857,7.372142857,7.41521978,7.473461538,7.485384615,7.532307692,7.590274725
1/18/00,6.354897959,6.662692308,6.904230769,7.079120879,7.149230769,7.231923077,7.298681319,7.35010989,7.336373626,7.35478022,7.386428571,7.41978022,7.40989011,7.43989011,7.488956044,7.543241758,7.557582418,7.605824176,7.669450549
1/19/00,6.345357143,6.653846154,6.888516484,7.056428571,7.130274725,7.210934066,7.276318681,7.328076923,7.311593407,7.329945055,7.362142857,7.396208791,7.39021978,7.42021978,7.46989011,7.525,7.543131868,7.591318681,7.655494505
1/20/00,6.343571429,6.64467033,6.887527473,7.060549451,7.142967033,7.22978022,7.302362637,7.350934066,7.331813187,7.35010989,7.382857143,7.415934066,7.410549451,7.440549451,7.490824176,7.543131868,7.556813187,7.599945055,7.661538462
1/21/00,6.333367347,6.630714286,6.876538462,7.041373626,7.124065934,7.21043956,7.281648352,7.327307692,7.312032967,7.330274725,7.365384615,7.400659341,7.395879121,7.425879121,7.476758242,7.528076923,7.542307692,7.585384615,7.647582418
1/24/00,6.330612245,6.610659341,6.844725275,6.998846154,7.078626374,7.151813187,7.208846154,7.241153846,7.227692308,7.245769231,7.282692308,7.314835165,7.311868132,7.33989011,7.38956044,7.435824176,7.448791209,7.489615385,7.550714286
1/25/00,6.338877551,6.618406593,6.855769231,7.010714286,7.084615385,7.157307692,7.218626374,7.251703297,7.232912088,7.250934066,7.288461538,7.31956044,7.317197802,7.345164835,7.395494505,7.436428571,7.442142857,7.48,7.541758242
1/26/00,6.348571429,6.638076923,6.876098901,7.030494505,7.110604396,7.182802198,7.24456044,7.276208791,7.258131868,7.276098901,7.314230769,7.344285714,7.342527473,7.37043956,7.421428571,7.461208791,7.465384615,7.500384615,7.560549451
